Название,Цена,URL
Terraform: инфраструктура на уровне кода. 3-е межд. изд.,1417.0,https://www.wildberries.ru/catalog/210342189/detail.aspx
Сетевое программирование на Python… книга Галбрейт Джон,3124.0,https://www.wildberries.ru/catalog/275099870/detail.aspx
Язык программирования C. 2-е изд.,1073.0,https://www.wildberries.ru/catalog/20849132/detail.aspx
Python для детей и родителей. 2-е издание,1039.0,https://www.wildberries.ru/catalog/42076401/detail.aspx
Программируем на Python,788.0,https://www.wildberries.ru/catalog/9664442/detail.aspx
Введение в рекурсивное программирование,1647.0,https://www.wildberries.ru/catalog/111115443/detail.aspx
"Си на примерах. Практика, практика и тол",458.0,https://www.wildberries.ru/catalog/64210831/detail.aspx
Linux API. Исчерпывающее руководство,3444.0,https://www.wildberries.ru/catalog/139326021/detail.aspx
{Вы не знаете JS} Замыкания и объекты,616.0,https://www.wildberries.ru/catalog/8354174/detail.aspx
GPT-3. Руководство по использованию API Open AI,1083.0,https://www.wildberries.ru/catalog/281898872/detail.aspx
Алгоритмы. С примерами на Python,948.0,https://www.wildberries.ru/catalog/163351599/detail.aspx
Python. Лучшие практики и инструменты,1461.0,https://www.wildberries.ru/catalog/27352087/detail.aspx
Qt 6. Разработка оконных приложений на C++,1108.0,https://www.wildberries.ru/catalog/137612656/detail.aspx
"Книга: Бизли Д. ""Python. Исчерпывающее руководство""",2100.0,https://www.wildberries.ru/catalog/184161503/detail.aspx
"Книга ""Программирование для детей"" Научиться с 6 лет может",918.0,https://www.wildberries.ru/catalog/287292377/detail.aspx
Java. Самое полное руководство по разработке в примерах от,1398.0,https://www.wildberries.ru/catalog/274005892/detail.aspx
Геймдизайн на практике. Как начать зарабатывать.,665.0,https://www.wildberries.ru/catalog/226019308/detail.aspx
C# для чайников,1755.0,https://www.wildberries.ru/catalog/42782742/detail.aspx
1С Программирование для начинающих Детям и родителям менедже,1244.0,https://www.wildberries.ru/catalog/276675032/detail.aspx
С# для UNITY- разработчиков. Руководство по созданию игр,748.0,https://www.wildberries.ru/catalog/152076906/detail.aspx
"Для ""чайников"" НЛП",1161.0,https://www.wildberries.ru/catalog/35844061/detail.aspx
JavaScript: карманный справочник.м3-е изд,786.0,https://www.wildberries.ru/catalog/35943510/detail.aspx
Вып.147. Электронные модули стиральных машин и холодильников,750.0,https://www.wildberries.ru/catalog/154522741/detail.aspx
Python и DevOps: Ключ к автоматизации Linux,1477.0,https://www.wildberries.ru/catalog/48501953/detail.aspx
Язык программирования C. 2-ое издание,1410.0,https://www.wildberries.ru/catalog/42782766/detail.aspx
Вып.158 Диагностика и ремонт ЖК LED-телевизоров,680.0,https://www.wildberries.ru/catalog/121012119/detail.aspx
Проектирование рекофигурируемых систем в LABVIEW FPGA,1878.0,https://www.wildberries.ru/catalog/180112176/detail.aspx
Эл. модули современных посудомоечных и стиральных машин,740.0,https://www.wildberries.ru/catalog/154922528/detail.aspx
Применение пакета MATLAB и SIMULINK для анализа,828.0,https://www.wildberries.ru/catalog/25992516/detail.aspx
Scratch 3. Изучайте язык программирования,821.0,https://www.wildberries.ru/catalog/147045158/detail.aspx
